age,sex,weight_kg,height_cm,bmi,goal,fitness_level,sessions_per_week,session_duration_min,activity_level,has_gym,has_dumbbells,has_barbell,has_pullup_bar,injury_knee,injury_back,injury_shoulder,program_type
46,0,83.4,185,24.37,1,0,3,39,2,1,0,1,0,0,0,0,beg_muscle_gym_3x
44,1,71.6,156,29.42,0,1,4,52,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
31,0,94.3,186,27.26,1,2,4,58,3,1,0,0,0,0,0,0,adv_muscle_gym_5x
33,1,85.7,160,33.48,1,1,5,38,2,0,1,0,0,0,0,0,int_muscle_home_4x
54,0,77.4,187,22.13,1,0,3,35,1,0,0,0,1,0,0,0,beg_muscle_home_3x
47,0,88.4,181,26.98,2,0,3,41,2,0,1,0,0,0,0,0,beg_maintain_home_3x
37,1,69.1,169,24.19,1,0,4,36,1,0,0,0,1,0,0,0,beg_muscle_home_3x
19,0,80.6,178,25.44,2,0,4,34,4,1,0,1,0,0,0,0,int_maintain_gym_3x
51,0,88.4,178,27.9,0,0,4,49,2,0,1,0,0,0,0,0,beg_fat_loss_home_4x
24,1,80.1,160,31.29,2,0,4,36,3,0,1,0,0,0,0,0,beg_maintain_home_3x
40,0,51.4,181,15.69,0,2,6,71,2,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
40,1,98.6,175,32.2,0,0,2,30,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
26,0,73.0,168,25.86,1,0,3,46,2,0,0,0,1,0,0,0,beg_muscle_home_3x
47,1,72.2,166,26.2,0,0,2,49,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
33,0,81.4,166,29.54,1,0,2,36,2,0,1,0,0,0,0,0,beg_muscle_home_3x
30,1,85.7,161,33.06,0,0,2,37,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
36,0,94.4,182,28.5,0,0,4,34,2,0,0,0,1,0,0,0,beg_fat_loss_home_4x
34,0,67.0,186,19.37,2,0,2,43,2,0,0,0,0,0,0,0,beg_maintain_home_2x
49,1,45.0,163,16.94,1,0,3,37,2,0,0,0,0,0,0,0,beg_muscle_home_3x
33,0,99.6,169,34.87,0,0,3,33,4,1,0,1,0,0,0,1,beg_injury_safe_home_3x
23,0,53.0,181,16.18,2,2,5,49,4,0,1,0,0,0,0,0,int_maintain_gym_4x
41,0,86.3,178,27.24,0,2,4,61,4,1,0,0,0,0,1,0,int_injury_safe_gym_3x
49,1,75.9,166,27.54,2,2,6,58,4,1,0,1,0,0,0,0,int_maintain_gym_4x
44,1,65.3,179,20.38,0,1,4,37,5,1,1,1,0,0,0,0,int_fat_loss_gym_4x
47,0,82.5,163,31.05,2,0,3,47,1,1,1,0,0,0,1,0,beg_injury_safe_home_3x
33,0,85.0,176,27.44,2,1,3,50,4,1,0,0,0,0,0,0,int_maintain_gym_4x
36,1,74.5,163,28.04,0,1,3,46,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
21,0,94.2,180,29.07,0,2,4,60,3,1,1,1,1,0,0,0,adv_fat_loss_gym_5x
49,1,78.1,174,25.8,0,1,4,30,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
34,0,91.5,169,32.04,2,2,5,44,4,1,0,1,0,0,0,0,int_maintain_gym_4x
27,0,76.9,170,26.61,1,0,3,38,3,1,0,0,0,0,0,0,beg_muscle_gym_3x
42,1,78.6,173,26.26,1,1,3,66,2,0,1,0,0,0,1,0,beg_injury_safe_home_3x
45,0,82.0,165,30.12,0,1,5,47,4,0,1,0,1,0,0,0,int_fat_loss_home_4x
31,0,84.7,187,24.22,0,2,4,54,3,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
26,0,62.1,170,21.49,0,0,4,44,1,0,1,0,1,0,0,0,beg_fat_loss_home_4x
46,0,82.7,183,24.69,0,0,4,38,2,0,0,0,0,0,0,0,beg_fat_loss_home_4x
18,1,77.9,154,32.85,1,0,2,43,2,0,1,0,0,0,0,0,beg_muscle_home_3x
49,0,110.4,173,36.89,0,0,3,43,2,0,1,0,1,1,0,0,beg_injury_safe_home_3x
55,1,51.8,164,19.26,2,2,4,68,4,1,1,1,0,0,0,0,int_maintain_gym_4x
26,1,57.1,158,22.87,0,2,4,66,5,1,0,1,0,1,0,0,int_injury_safe_gym_3x
35,0,84.0,162,32.01,1,0,3,33,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
53,1,67.4,167,24.17,0,1,4,49,4,1,0,1,0,0,0,0,int_fat_loss_gym_4x
35,1,78.5,159,31.05,0,0,3,35,2,1,0,1,0,0,0,0,beg_fat_loss_gym_3x
45,0,82.0,184,24.22,0,0,4,42,1,0,1,0,0,0,0,0,beg_fat_loss_home_4x
21,0,99.0,176,31.96,2,2,5,62,5,1,0,0,1,0,0,0,int_maintain_gym_4x
46,1,60.7,154,25.59,1,0,3,29,1,0,1,0,0,0,1,0,beg_injury_safe_home_3x
51,0,72.2,178,22.79,2,0,2,34,4,0,1,0,0,0,0,0,beg_maintain_home_2x
55,0,97.2,177,31.03,0,1,4,50,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
29,1,57.6,167,20.65,1,0,4,51,1,0,1,0,1,0,0,0,beg_muscle_home_3x
19,1,62.1,161,23.96,0,2,6,56,3,1,1,1,0,0,0,0,adv_fat_loss_gym_5x
44,0,85.1,171,29.1,0,0,3,25,4,0,1,0,0,0,0,0,beg_fat_loss_home_3x
26,0,93.8,182,28.32,0,1,3,46,5,0,1,0,0,0,0,0,int_fat_loss_home_4x
38,0,106.7,198,27.22,1,1,5,55,3,0,0,0,1,1,0,0,beg_injury_safe_home_3x
21,0,70.3,180,21.7,1,0,4,27,2,0,1,0,0,0,0,0,beg_muscle_home_3x
39,1,48.8,170,16.89,0,2,5,74,3,1,1,0,0,0,0,0,adv_fat_loss_gym_5x
20,1,50.8,168,18.0,0,2,6,65,4,1,0,0,0,0,0,0,adv_fat_loss_gym_5x
35,1,69.8,158,27.96,1,0,2,37,3,1,0,1,0,0,0,0,beg_muscle_gym_3x
53,1,73.6,169,25.77,0,1,5,44,3,1,0,1,0,0,0,0,int_fat_loss_gym_4x
37,1,61.3,164,22.79,0,1,5,30,2,1,0,0,0,0,0,0,int_fat_loss_gym_4x
43,0,87.2,177,27.83,1,2,4,58,4,1,0,0,0,0,0,0,adv_muscle_gym_5x
44,1,74.1,172,25.05,0,1,4,60,5,1,1,1,0,1,0,0,int_injury_safe_gym_3x
30,0,87.2,174,28.8,1,1,5,54,4,1,0,0,0,0,0,0,int_muscle_gym_5x
25,0,92.6,182,27.96,0,1,5,61,5,0,1,0,0,0,0,0,int_fat_loss_home_4x
18,0,103.1,186,29.8,1,0,2,36,2,0,1,0,0,0,0,0,beg_muscle_home_3x
54,1,73.5,168,26.04,0,1,3,48,2,1,0,1,0,1,1,0,int_injury_safe_gym_3x
29,0,47.9,175,15.64,0,0,4,55,1,1,0,1,0,0,0,0,beg_fat_loss_gym_4x
52,1,53.5,169,18.73,2,1,5,32,3,0,1,0,0,0,0,1,beg_injury_safe_home_3x
48,0,64.0,183,19.11,0,1,4,33,3,1,0,1,0,0,0,0,int_fat_loss_gym_4x
22,1,67.7,161,26.12,2,1,5,50,1,0,1,0,1,0,0,0,int_maintain_gym_4x
51,1,60.8,164,22.61,1,1,3,44,2,0,1,0,0,0,0,0,int_muscle_home_4x
44,0,73.3,174,24.21,0,1,3,45,4,1,0,1,0,0,0,0,int_fat_loss_gym_4x
18,1,59.5,165,21.85,2,1,5,34,3,0,0,0,1,0,0,0,int_maintain_gym_4x
23,0,63.3,174,20.91,1,0,2,31,2,0,0,0,1,0,0,0,beg_muscle_home_3x
53,1,80.2,166,29.1,0,1,4,50,3,1,0,0,0,0,1,0,int_injury_safe_gym_3x
38,1,71.6,170,24.78,2,1,3,47,2,0,0,0,1,0,0,0,int_maintain_gym_4x
51,0,66.6,180,20.56,0,0,2,33,1,0,1,0,1,0,1,0,beg_injury_safe_home_3x
25,1,45.0,173,15.04,1,0,3,40,2,0,0,0,1,0,0,0,beg_muscle_home_3x
26,0,82.1,175,26.81,1,0,3,44,3,0,1,0,1,0,0,0,beg_muscle_home_3x
53,0,71.8,173,23.99,0,0,3,42,3,1,0,1,0,0,1,0,beg_injury_safe_home_3x
18,1,75.5,158,30.24,0,2,6,76,3,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
26,0,82.3,182,24.85,1,1,3,51,2,1,0,1,0,0,0,0,int_muscle_gym_4x
45,1,48.9,160,19.1,2,0,2,34,2,0,1,0,0,0,0,0,beg_maintain_home_2x
42,1,70.0,158,28.04,0,1,5,34,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
34,0,84.9,184,25.08,2,0,3,28,1,0,1,0,0,0,0,0,beg_maintain_home_3x
38,1,61.9,177,19.76,2,2,6,67,4,0,1,0,1,0,0,0,int_maintain_gym_4x
45,1,49.6,170,17.16,1,0,4,31,1,1,0,1,0,0,0,0,beg_muscle_gym_4x
41,0,84.5,171,28.9,0,1,3,55,2,0,1,0,0,0,0,0,int_fat_loss_home_4x
44,0,75.0,177,23.94,2,0,4,20,1,0,1,0,1,0,0,0,beg_maintain_home_3x
22,0,58.2,176,18.79,1,0,4,43,3,0,0,0,1,0,0,0,beg_muscle_home_3x
40,0,66.6,177,21.26,2,1,4,49,4,0,0,0,0,0,0,0,int_maintain_gym_4x
30,1,66.9,161,25.81,2,1,3,50,2,1,0,0,0,0,0,1,int_injury_safe_gym_3x
34,0,67.4,179,21.04,0,0,4,45,1,1,0,1,0,0,0,0,beg_fat_loss_gym_4x
45,1,45.0,174,14.86,1,0,2,37,3,1,0,1,0,0,0,1,beg_injury_safe_home_3x
36,1,52.9,169,18.52,1,0,2,27,2,0,1,0,0,0,0,0,beg_muscle_home_3x
33,0,57.4,179,17.91,2,0,3,42,4,0,1,0,0,1,0,0,beg_injury_safe_home_3x
42,0,59.4,172,20.08,1,0,3,43,1,1,1,0,0,0,0,0,beg_muscle_gym_3x
30,1,69.8,172,23.59,2,1,3,42,3,0,1,0,0,0,0,0,int_maintain_gym_4x
45,1,59.9,167,21.48,2,1,4,49,4,1,0,1,0,0,0,0,int_maintain_gym_4x
21,0,71.2,186,20.58,1,1,3,48,2,0,0,0,0,0,0,0,int_muscle_home_4x
53,1,45.8,160,17.89,0,0,2,49,4,0,0,0,1,0,0,0,beg_fat_loss_home_3x
33,1,69.4,153,29.65,0,0,3,49,1,0,1,0,1,0,0,0,beg_fat_loss_home_3x
19,1,62.5,166,22.68,1,1,3,30,5,0,1,0,1,0,0,0,int_muscle_home_4x
23,0,70.0,158,28.04,0,1,4,47,2,1,0,1,0,0,0,1,int_injury_safe_gym_3x
23,0,76.9,179,24.0,1,0,3,32,1,0,1,0,0,0,0,0,beg_muscle_home_3x
37,0,71.8,179,22.41,1,2,6,60,5,0,1,0,0,0,0,0,int_muscle_home_4x
52,1,60.4,169,21.15,0,0,2,31,3,0,0,0,1,0,0,0,beg_fat_loss_home_3x
39,1,70.7,161,27.28,0,0,3,51,3,0,1,0,0,0,0,0,beg_fat_loss_home_3x
25,0,80.6,162,30.71,1,2,5,74,4,0,0,0,0,0,0,0,int_muscle_home_4x
55,1,89.3,154,37.65,1,1,4,67,3,1,0,1,0,1,0,0,int_injury_safe_gym_3x
27,0,62.9,189,17.61,2,2,4,73,5,0,0,0,1,0,1,0,beg_injury_safe_home_3x
23,1,52.1,153,22.26,0,1,3,51,5,0,0,0,0,1,0,0,beg_injury_safe_home_3x
45,1,57.8,158,23.15,2,1,3,51,4,1,1,1,0,0,0,0,int_maintain_gym_4x
50,1,62.8,160,24.53,2,0,2,44,2,0,1,0,0,0,0,0,beg_maintain_home_2x
19,1,48.5,172,16.39,1,0,3,38,1,1,1,1,0,0,0,0,beg_muscle_gym_3x
18,0,72.3,191,19.82,1,0,2,39,2,1,1,0,0,1,0,0,beg_injury_safe_home_3x
33,0,61.6,177,19.66,2,2,4,80,5,0,0,0,1,0,0,0,int_maintain_gym_4x
23,1,71.9,164,26.73,0,1,5,60,3,1,0,1,0,0,0,0,int_fat_loss_gym_5x
52,0,63.3,177,20.2,2,1,3,69,3,0,0,0,0,0,0,0,int_maintain_gym_4x
27,1,46.3,162,17.64,1,0,3,46,2,0,1,0,0,0,0,1,beg_injury_safe_home_3x
55,0,67.9,176,21.92,0,1,3,50,3,0,0,0,0,0,0,0,int_fat_loss_home_4x
49,0,69.2,164,25.73,2,1,4,60,3,1,0,1,0,0,0,1,int_injury_safe_gym_3x
46,1,62.9,164,23.39,1,0,4,30,2,0,1,0,1,0,0,0,beg_muscle_home_3x
18,0,87.1,186,25.18,1,2,4,62,5,0,1,0,0,0,0,0,int_muscle_home_4x
48,1,65.7,165,24.13,1,0,3,49,2,0,1,0,0,0,0,0,beg_muscle_home_3x
51,1,64.0,165,23.51,2,0,4,20,4,0,0,0,1,0,0,0,beg_maintain_home_3x
26,0,76.9,176,24.83,0,1,4,41,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
41,0,78.6,177,25.09,2,1,4,56,5,1,1,0,0,1,0,0,int_injury_safe_gym_3x
43,0,77.5,189,21.7,2,0,3,30,1,1,1,0,0,0,0,0,int_maintain_gym_3x
25,1,81.5,159,32.24,1,1,5,63,3,1,0,1,0,0,0,0,int_muscle_gym_5x
49,0,80.8,183,24.13,2,0,4,28,1,0,1,0,0,0,0,0,beg_maintain_home_3x
53,1,49.0,156,20.13,0,0,3,47,2,1,0,1,1,0,1,0,beg_injury_safe_home_3x
25,0,51.7,166,18.76,1,0,2,31,2,0,0,0,0,0,0,0,beg_muscle_home_3x
33,0,69.7,186,20.15,0,2,6,74,5,1,0,1,1,0,1,0,int_injury_safe_gym_3x
26,0,79.2,176,25.57,2,0,3,32,4,1,0,1,0,0,0,0,int_maintain_gym_3x
47,0,112.7,174,37.22,0,2,6,70,4,1,0,1,1,0,0,0,adv_fat_loss_gym_5x
29,0,81.3,167,29.15,0,0,4,48,3,0,1,0,0,0,0,0,beg_fat_loss_home_4x
49,1,61.9,150,27.51,2,2,5,68,4,1,1,1,0,0,0,0,int_maintain_gym_4x
36,0,100.2,182,30.25,0,2,5,60,3,1,1,0,0,0,0,0,adv_fat_loss_gym_5x
40,0,75.6,193,20.3,1,2,6,51,4,1,1,0,0,0,0,0,adv_strength_gym_5x
34,0,69.8,152,30.21,2,0,2,31,1,0,1,0,0,0,0,0,beg_maintain_home_2x
42,1,55.1,171,18.84,1,2,4,68,4,1,0,1,0,0,0,0,adv_muscle_gym_5x
29,1,57.4,166,20.83,1,0,2,33,3,0,1,0,0,0,0,0,beg_muscle_home_3x
22,0,80.7,170,27.92,1,1,4,58,4,0,0,0,0,0,0,1,beg_injury_safe_home_3x
25,1,65.7,155,27.35,0,0,2,48,4,0,1,0,0,0,0,1,beg_injury_safe_home_3x
42,1,69.5,155,28.93,2,0,2,39,3,0,0,0,1,0,0,0,beg_maintain_home_2x
18,1,82.1,155,34.17,0,0,4,33,4,0,0,0,0,0,0,0,beg_fat_loss_home_4x
45,0,78.9,167,28.29,1,0,2,32,2,0,0,0,1,0,0,0,beg_muscle_home_3x
22,0,95.3,177,30.42,0,1,4,49,2,0,1,0,0,0,0,0,int_fat_loss_home_4x
31,1,64.6,163,24.31,0,0,2,45,2,0,1,0,1,0,0,0,beg_fat_loss_home_3x
21,0,84.3,187,24.11,2,1,3,61,4,0,1,0,0,0,0,0,int_maintain_gym_4x
33,0,75.7,185,22.12,1,1,4,58,3,0,1,0,0,0,0,0,int_muscle_home_4x
54,1,72.0,165,26.45,1,0,3,45,2,0,1,0,0,0,0,0,beg_muscle_home_3x
24,0,92.2,188,26.09,0,2,5,78,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
30,1,55.6,163,20.93,2,1,4,67,3,0,1,0,0,0,0,0,int_maintain_gym_4x
37,1,80.7,169,28.26,1,1,5,53,5,0,1,0,1,0,0,0,int_muscle_home_4x
50,1,60.7,157,24.63,1,0,2,37,2,0,0,0,1,0,0,0,beg_muscle_home_3x
46,1,69.0,163,25.97,1,0,2,41,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
45,1,71.9,153,30.71,0,0,3,52,3,0,1,0,0,0,0,0,beg_fat_loss_home_3x
52,1,60.8,175,19.85,1,0,4,48,1,0,1,0,0,1,0,1,beg_injury_safe_home_3x
51,0,90.3,188,25.55,0,1,3,60,4,0,0,0,0,0,0,0,int_fat_loss_home_4x
24,0,66.1,183,19.74,1,2,5,51,5,0,1,0,1,1,0,0,beg_injury_safe_home_3x
52,1,75.3,156,30.94,0,2,5,72,5,0,0,0,1,0,1,0,beg_injury_safe_home_3x
46,1,68.8,172,23.26,1,0,4,32,3,0,1,0,0,0,0,0,beg_muscle_home_3x
44,0,90.9,173,30.37,0,0,3,41,3,0,0,0,0,0,0,0,beg_fat_loss_home_3x
34,1,76.0,160,29.69,2,1,3,30,5,0,1,0,0,0,0,1,beg_injury_safe_home_3x
33,1,67.8,165,24.9,2,0,3,47,3,0,1,0,0,1,0,0,beg_injury_safe_home_3x
53,0,94.1,191,25.79,0,2,6,61,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
45,1,60.4,155,25.14,0,0,4,25,2,0,0,0,1,0,0,0,beg_fat_loss_home_3x
45,1,58.2,165,21.38,1,1,3,56,4,1,0,1,0,0,0,0,int_muscle_gym_4x
18,1,81.6,162,31.09,1,0,3,40,1,0,1,0,1,0,0,0,beg_muscle_home_3x
29,0,86.9,176,28.05,0,1,3,50,4,0,0,0,1,0,0,0,int_fat_loss_home_4x
30,1,81.4,165,29.9,0,0,4,44,3,1,1,0,0,0,0,0,beg_fat_loss_gym_4x
28,1,73.1,168,25.9,1,1,5,75,2,1,0,1,0,0,0,0,int_muscle_gym_5x
23,0,94.9,187,27.14,2,1,4,50,4,0,0,0,1,0,1,0,beg_injury_safe_home_3x
24,0,116.9,165,42.94,0,0,2,32,4,0,1,0,1,1,0,0,beg_injury_safe_home_3x
42,0,73.7,172,24.91,2,0,3,52,1,0,0,0,0,0,0,0,beg_maintain_home_3x
33,0,81.4,180,25.12,1,1,3,40,4,1,1,1,0,0,0,0,int_muscle_gym_4x
52,1,57.3,171,19.6,1,1,5,43,5,1,0,0,0,0,0,0,int_muscle_gym_4x
21,0,77.4,180,23.89,1,1,4,45,3,0,1,0,1,0,0,0,int_muscle_home_4x
50,0,73.6,169,25.77,2,1,3,38,2,1,0,0,0,1,0,0,int_injury_safe_gym_3x
27,0,85.0,172,28.73,1,0,4,51,3,0,0,0,0,0,0,0,beg_muscle_home_3x
42,1,46.0,170,15.92,1,0,2,31,1,0,0,0,0,0,0,0,beg_muscle_home_3x
20,1,56.6,169,19.82,1,2,5,72,3,1,1,1,1,0,0,0,adv_strength_gym_5x
22,0,89.9,175,29.36,1,2,4,56,4,1,0,1,0,0,0,1,int_injury_safe_gym_3x
25,0,69.6,174,22.99,2,0,2,43,2,0,0,0,1,0,0,0,beg_maintain_home_2x
33,1,65.6,167,23.52,0,0,3,20,4,1,0,1,0,0,0,0,beg_fat_loss_gym_3x
35,1,70.1,167,25.14,0,2,6,59,5,1,1,1,0,0,0,0,adv_fat_loss_gym_5x
37,0,77.0,181,23.5,2,1,5,31,4,1,0,0,1,0,0,0,int_maintain_gym_4x
28,0,80.4,187,22.99,1,0,2,46,2,0,1,0,0,0,0,0,beg_muscle_home_3x
41,1,94.9,160,37.07,0,1,4,53,2,0,1,0,1,1,0,0,beg_injury_safe_home_3x
52,1,69.6,173,23.26,0,0,2,37,1,0,1,0,1,0,0,0,beg_fat_loss_home_3x
35,0,85.9,173,28.7,2,1,4,38,4,0,1,0,0,0,0,0,int_maintain_gym_4x
44,0,82.6,177,26.37,1,1,3,51,5,1,0,0,0,1,0,0,int_injury_safe_gym_3x
41,0,53.3,176,17.21,1,2,4,71,5,1,0,1,0,1,0,0,int_injury_safe_gym_3x
20,1,58.3,169,20.41,1,1,5,71,3,0,1,0,0,0,0,0,int_muscle_home_4x
29,1,60.8,165,22.33,0,1,3,61,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
51,1,45.0,168,15.94,1,1,3,49,2,0,1,0,0,0,0,0,int_muscle_home_4x
50,1,49.6,166,18.0,1,0,2,34,2,1,0,0,0,0,1,0,beg_injury_safe_home_3x
50,1,74.2,159,29.35,1,0,4,32,1,0,1,0,1,0,0,0,beg_muscle_home_3x
25,1,72.7,160,28.4,0,1,4,36,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
28,0,78.3,169,27.42,1,0,2,39,5,0,0,0,1,0,1,0,beg_injury_safe_home_3x
28,0,68.9,180,21.27,2,1,4,47,3,0,1,0,0,0,0,0,int_maintain_gym_4x
22,1,54.9,157,22.27,0,0,4,46,4,0,1,0,0,0,0,1,beg_injury_safe_home_3x
51,0,99.5,176,32.12,0,1,5,50,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
43,0,95.8,181,29.24,2,1,5,43,2,0,1,0,0,0,0,0,int_maintain_gym_4x
20,1,70.7,153,30.2,0,0,2,50,3,0,0,0,1,0,0,0,beg_fat_loss_home_3x
52,0,64.6,181,19.72,0,0,2,31,4,0,1,0,0,0,0,0,beg_fat_loss_home_3x
47,1,62.6,161,24.15,2,0,4,26,1,0,1,0,0,0,0,0,beg_maintain_home_3x
22,1,48.8,164,18.14,1,0,2,42,2,0,1,0,0,0,0,0,beg_muscle_home_3x
20,1,73.4,155,30.55,2,0,2,33,2,0,1,0,0,0,0,0,beg_maintain_home_2x
22,0,107.5,168,38.09,0,1,5,39,3,1,0,0,0,1,0,0,int_injury_safe_gym_3x
37,1,60.9,180,18.8,1,0,4,55,3,0,1,0,1,0,0,0,beg_muscle_home_3x
46,1,81.4,165,29.9,0,2,4,47,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
20,1,77.3,171,26.44,0,1,3,50,3,0,0,0,1,0,0,0,int_fat_loss_home_4x
46,1,58.7,170,20.31,2,1,5,60,2,0,0,0,0,0,0,0,int_maintain_gym_4x
36,0,77.0,180,23.77,0,0,3,35,3,0,0,0,1,0,0,0,beg_fat_loss_home_3x
21,0,94.2,168,33.38,0,1,4,43,4,1,0,0,0,0,0,0,int_fat_loss_gym_4x
36,0,87.0,190,24.1,0,0,3,36,4,0,1,0,1,0,0,0,beg_fat_loss_home_3x
50,1,69.7,168,24.7,1,0,3,46,1,1,1,0,0,0,0,0,beg_muscle_gym_3x
21,0,66.8,182,20.17,0,1,3,50,2,0,1,0,0,0,0,0,int_fat_loss_home_4x
43,1,61.5,157,24.95,0,0,3,32,4,0,1,0,0,0,0,0,beg_fat_loss_home_3x
45,1,66.3,162,25.26,0,0,2,30,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
54,0,75.0,174,24.77,1,2,6,53,5,0,0,0,0,0,0,0,int_muscle_home_4x
28,1,45.0,161,17.36,1,2,4,63,3,1,1,1,0,1,0,0,int_injury_safe_gym_3x
18,1,45.0,163,16.94,1,0,3,41,2,0,1,0,0,0,0,0,beg_muscle_home_3x
43,1,70.5,165,25.9,0,0,4,36,2,1,0,0,1,0,0,0,beg_fat_loss_gym_4x
51,0,69.5,168,24.62,1,0,4,48,3,0,1,0,0,0,0,0,beg_muscle_home_3x
48,1,61.5,165,22.59,0,0,4,51,3,0,1,0,0,0,0,1,beg_injury_safe_home_3x
31,1,64.9,157,26.33,0,1,4,37,1,0,1,0,0,0,1,0,beg_injury_safe_home_3x
44,1,55.1,164,20.49,1,1,4,58,3,1,0,0,1,0,0,0,int_muscle_gym_4x
21,0,67.5,175,22.04,1,0,3,34,5,1,0,0,0,0,0,0,beg_muscle_gym_3x
40,1,81.4,166,29.54,0,2,6,56,2,0,1,0,0,0,0,1,beg_injury_safe_home_3x
24,1,69.0,166,25.04,0,0,2,47,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
34,1,60.9,167,21.84,2,0,3,41,3,0,1,0,0,0,0,0,beg_maintain_home_3x
21,0,79.4,165,29.16,0,1,5,45,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
32,1,73.6,166,26.71,2,1,3,55,2,1,0,0,0,0,0,0,int_maintain_gym_4x
53,0,70.5,187,20.16,2,0,4,33,1,0,1,0,0,0,0,0,beg_maintain_home_3x
44,0,84.3,180,26.02,1,1,5,33,3,0,0,0,0,1,0,0,beg_injury_safe_home_3x
30,0,77.3,171,26.44,1,2,4,68,5,1,0,0,0,0,0,0,adv_muscle_gym_5x
48,0,69.3,172,23.42,0,2,6,68,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
48,0,81.9,181,25.0,2,0,2,36,2,0,0,0,1,0,0,0,beg_maintain_home_2x
33,1,57.0,163,21.45,2,1,3,63,4,1,0,1,0,0,0,0,int_maintain_gym_4x
24,1,50.8,156,20.87,2,1,3,57,3,1,0,1,1,0,1,0,int_injury_safe_gym_3x
21,1,58.9,159,23.3,1,1,5,43,2,1,0,1,0,0,1,0,int_injury_safe_gym_3x
18,1,63.5,165,23.32,1,0,4,33,3,0,1,0,1,0,0,0,beg_muscle_home_3x
22,1,77.7,174,25.66,2,2,5,69,5,1,0,1,1,0,0,1,int_injury_safe_gym_3x
22,1,59.5,162,22.67,0,2,4,58,5,0,1,0,1,0,0,0,adv_fat_loss_gym_5x
26,1,64.7,168,22.92,1,0,2,35,3,0,1,0,0,1,0,0,beg_injury_safe_home_3x
25,1,64.3,166,23.33,0,1,4,37,2,1,0,0,0,0,0,0,int_fat_loss_gym_4x
26,0,106.2,187,30.37,1,1,4,36,3,0,1,0,1,0,0,0,int_muscle_home_4x
36,1,58.1,162,22.14,0,0,4,31,2,1,0,0,0,0,0,0,beg_fat_loss_gym_4x
24,0,90.1,183,26.9,0,1,4,49,4,1,1,1,1,0,0,0,int_fat_loss_gym_4x
23,0,88.5,179,27.62,0,1,4,50,4,1,0,1,0,0,0,0,int_fat_loss_gym_4x
37,1,73.1,158,29.28,0,0,2,55,2,1,0,1,0,0,0,0,beg_fat_loss_gym_3x
51,0,92.9,183,27.74,0,0,4,33,2,0,0,0,1,0,0,0,beg_fat_loss_home_4x
49,0,70.7,185,20.66,2,0,3,25,2,0,1,0,0,0,0,0,beg_maintain_home_3x
33,1,76.4,165,28.06,0,0,2,25,1,0,1,0,1,0,0,0,beg_fat_loss_home_3x
49,0,66.6,175,21.75,0,2,6,60,3,0,0,0,1,0,0,0,adv_fat_loss_gym_5x
53,0,84.6,185,24.72,0,0,4,43,3,0,1,0,0,0,0,0,beg_fat_loss_home_4x
51,0,78.8,177,25.15,1,1,5,52,4,1,0,1,0,0,0,0,int_muscle_gym_5x
32,1,92.2,175,30.11,1,1,3,54,2,1,1,0,0,0,0,0,int_muscle_gym_4x
42,0,65.8,177,21.0,0,0,3,45,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
55,1,77.8,162,29.64,1,0,3,40,2,1,0,1,0,0,0,0,beg_muscle_gym_3x
24,0,78.1,181,23.84,0,0,2,36,2,0,0,0,1,0,0,0,beg_fat_loss_home_3x
49,1,62.2,160,24.3,1,2,5,53,5,0,0,0,0,0,0,0,int_muscle_home_4x
55,0,100.6,185,29.39,1,0,2,29,1,0,1,0,0,0,0,0,beg_muscle_home_3x
42,1,45.0,158,18.03,0,0,3,55,2,0,1,0,0,1,0,0,beg_injury_safe_home_3x
40,0,82.7,176,26.7,0,0,2,47,4,0,1,0,0,0,0,0,beg_fat_loss_home_3x
37,1,56.6,154,23.87,0,0,4,22,3,0,1,0,0,0,0,0,beg_fat_loss_home_3x
23,0,80.4,167,28.83,2,0,3,46,3,0,0,0,1,0,0,0,beg_maintain_home_3x
35,1,70.6,168,25.01,2,2,6,66,3,1,1,1,0,0,0,0,int_maintain_gym_4x
47,0,55.6,167,19.94,1,1,4,49,3,0,1,0,0,0,0,0,int_muscle_home_4x
